Introduced,Resident,Location
Microhyla orientalis,"['Microhyla achatina', 'Microhyla borneensis', 'Microhyla butleri', 'Microhyla gadjahmadai', 'Microhyla malang', 'Microhyla mantheyi', 'Microhyla nakkavaram', 'Microhyla palmipes', 'Microhyla sriwijaya', 'Microhyla sundaica', 'Microhyla superciliaris']","[['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia']]"
Nyctimystes infrafrenatus,"['Nyctimystes azuroscelis', 'Nyctimystes fluviatilis', 'Nyctimystes granti', 'Nyctimystes humeralis', 'Nyctimystes lubisi', 'Nyctimystes montanus', 'Nyctimystes multicolor', 'Nyctimystes narinosus', 'Nyctimystes pulcher', 'Nyctimystes purpureolatus', 'Nyctimystes sanguinolenta', 'Nyctimystes tenuigranulata']","[['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia']]"
Osteopilus septentrionalis,"['Osteopilus crucialis', 'Osteopilus dominicensis', 'Osteopilus marianae', 'Osteopilus ocellatus', 'Osteopilus pulchrilineatus', 'Osteopilus vastus', 'Osteopilus wilderi']","[['Jamaica'], ['Dominican Republic', 'Haiti'], ['Jamaica'], ['Jamaica'], ['Dominican Republic', 'Haiti'], ['Dominican Republic', 'Haiti'], ['Jamaica']]"
Pelophylax lessonae,"['Pelophylax perezi', 'Pelophylax saharicus']","[['Spain'], ['Spain']]"
Pelophylax ridibundus,"['Pelophylax fukienensis', 'Pelophylax lessonae', 'Pelophylax mongolius', 'Pelophylax nigromaculatus', 'Pelophylax perezi', 'Pelophylax plancyi', 'Pelophylax saharicus']","[['China', ""People's Republic of""], ['Belgium', 'Italy', 'Switzerland'], ['China', ""People's Republic of""], ['China', ""People's Republic of""], ['Spain'], ['China', ""People's Republic of""], ['Spain']]"
Pelophylax saharicus,"['Pelophylax lessonae', 'Pelophylax perezi', 'Pelophylax ridibundus']","[['France'], ['France', 'Spain'], ['France']]"
Pelophylax shqipericus,"['Pelophylax lessonae', 'Pelophylax ridibundus']","[['Italy'], ['Italy']]"
Phyllodytes luteolus,"['Phyllodytes acuminatus', 'Phyllodytes amadoi', 'Phyllodytes brevirostris', 'Phyllodytes edelmoi', 'Phyllodytes gyrinaethes', 'Phyllodytes iuna', 'Phyllodytes kautskyi', 'Phyllodytes maculosus', 'Phyllodytes magnus', 'Phyllodytes megatympanum', 'Phyllodytes melanomystax', 'Phyllodytes praeceptor', 'Phyllodytes punctatus', 'Phyllodytes tuberculosus', 'Phyllodytes wuchereri']","[['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil']]"
Pipa parva,"['Pipa arrabali', 'Pipa pipa']","[['Venezuela'], ['Venezuela']]"
Polypedates leucomystax,"['Polypedates colletti', 'Polypedates iskandari', 'Polypedates macrotis', 'Polypedates otilophus', 'Polypedates pseudotilophus', 'Polypedates hecticus']","[['Indonesia'], ['Indonesia'], ['Indonesia', 'Philippines'], ['Indonesia'], ['Indonesia'], ['Philippines']]"
