"","Species","Natural_Resident","Introduced","Endemic","Likely"
"380","Pseudoeurycea melanomolga (Taylor, 1941)","Mexico","","Mexico",""
"381","Pseudoeurycea mixcoatl Adler, 1996","Mexico","","Mexico",""
"382","Pseudoeurycea mixteca Canseco-Márquez and Gutiérrez-Mayén, 2005","Mexico","","Mexico",""
"383","Pseudoeurycea mystax Bogert, 1967","Mexico","","Mexico",""
"384","Pseudoeurycea nigromaculata (Taylor, 1941)","Mexico","","Mexico",""
"385","Pseudoeurycea obesa Parra-Olea, García-París, Hanken, and Wake, 2005","Mexico","","Mexico",""
"386","Pseudoeurycea orchileucos (Brodie, Mendelson, and Campbell, 2002)","Mexico","","Mexico",""
"387","Pseudoeurycea orchimelas (Brodie, Mendelson, and Campbell, 2002)","Mexico","","Mexico",""
"388","Pseudoeurycea papenfussi Parra-Olea, García-París, Hanken, and Wake, 2005","Mexico","","Mexico",""
"389","Pseudoeurycea rex (Dunn, 1921)","Guatemala, Mexico","","",""
"390","Pseudoeurycea robertsi (Taylor, 1939)","Mexico","","Mexico",""
"391","Pseudoeurycea ruficauda Parra-Olea, García-París, Hanken, and Wake, 2004","Mexico","","Mexico",""
"392","Pseudoeurycea saltator Lynch and Wake, 1989","Mexico","","Mexico",""
"393","Pseudoeurycea smithi (Taylor, 1939)","Mexico","","Mexico",""
"394","Pseudoeurycea tenchalli Adler, 1996","Mexico","","Mexico",""
"395","Pseudoeurycea teotepec Adler, 1996","Mexico","","Mexico",""
"396","Pseudoeurycea tlahcuiloh Adler, 1996","Mexico","","Mexico",""
"397","Pseudoeurycea tlilicxitl Lara-Góngora, 2003","Mexico","","Mexico",""
"398","Pseudoeurycea unguidentis (Taylor, 1941)","Mexico","","Mexico",""
"399","Pseudoeurycea werleri Darling and Smith, 1954","Mexico","","Mexico",""
"400","Thorius adelos (Papenfuss and Wake, 1987)","Mexico","","Mexico",""
"401","Thorius arboreus Hanken and Wake, 1994","Mexico","","Mexico",""
"402","Thorius aureus Hanken and Wake, 1994","Mexico","","Mexico",""
"403","Thorius boreas Hanken and Wake, 1994","Mexico","","Mexico",""
"404","Thorius dubitus Taylor, 1941","Mexico","","Mexico",""
"405","Thorius grandis Hanken, Wake, and Freeman, 1999","Mexico","","Mexico",""
"406","Thorius hankeni Campbell, Brodie, Flores-Villela, and Smith, 2014","Mexico","","Mexico",""
"407","Thorius infernalis Hanken, Wake, and Freeman, 1999","Mexico","","Mexico",""
