Resident,Introduced,Location
Litoria revelata,Litoria dentata,['Australia']
Litoria ridibunda,Litoria dentata,['Australia']
Litoria rothii,Litoria dentata,['Australia']
Litoria rubella,Litoria dentata,['Australia']
Litoria sibilus,Litoria dentata,['Australia']
Litoria spaldingi,Litoria dentata,['Australia']
Litoria staccato,Litoria dentata,['Australia']
Litoria tornieri,Litoria dentata,['Australia']
Litoria tyleri,Litoria dentata,['Australia']
Litoria verreauxii,Litoria dentata,['Australia']
Litoria watjulumensis,Litoria dentata,['Australia']
Litoria watsoni,Litoria dentata,['Australia']
Microhyla achatina,Microhyla orientalis,['Indonesia']
Microhyla gadjahmadai,Microhyla orientalis,['Indonesia']
Microhyla mantheyi,Microhyla orientalis,['Indonesia']
Microhyla orientalis,Microhyla orientalis,['Indonesia']
Microhyla palmipes,Microhyla orientalis,['Indonesia']
Microhyla sriwijaya,Microhyla orientalis,['Indonesia']
Microhyla sundaica,Microhyla orientalis,['Indonesia']
Microhyla superciliaris,Microhyla orientalis,['Indonesia']
Nyctimystes azuroscelis,Nyctimystes infrafrenatus,['Indonesia']
Nyctimystes fluviatilis,Nyctimystes infrafrenatus,['Indonesia']
Nyctimystes granti,Nyctimystes infrafrenatus,['Indonesia']
Nyctimystes humeralis,Nyctimystes infrafrenatus,['Indonesia']
Nyctimystes lubisi,Nyctimystes infrafrenatus,['Indonesia']
Nyctimystes montanus,Nyctimystes infrafrenatus,['Indonesia']
Nyctimystes multicolor,Nyctimystes infrafrenatus,['Indonesia']
Nyctimystes narinosus,Nyctimystes infrafrenatus,['Indonesia']
Nyctimystes pulcher,Nyctimystes infrafrenatus,['Indonesia']
Nyctimystes purpureolatus,Nyctimystes infrafrenatus,['Indonesia']
Nyctimystes sanguinolenta,Nyctimystes infrafrenatus,['Indonesia']
Nyctimystes tenuigranulata,Nyctimystes infrafrenatus,['Indonesia']
Osteopilus dominicensis,Osteopilus septentrionalis,[' Haiti']
Osteopilus pulchrilineatus,Osteopilus septentrionalis,[' Haiti']
Osteopilus septentrionalis,Osteopilus septentrionalis,[' Virgin Islands']
Osteopilus vastus,Osteopilus septentrionalis,[' Haiti']
Pelophylax fukienensis,Pelophylax ridibundus,"["" People's Republic of""]"
Pelophylax lessonae,Pelophylax ridibundus,"[' Italy', ' Switzerland']"
Pelophylax mongolius,Pelophylax ridibundus,"["" People's Republic of""]"
Pelophylax nigromaculatus,Pelophylax ridibundus,"["" People's Republic of""]"
Pelophylax perezi,Pelophylax ridibundus,[' Spain']
Pelophylax perezi,Pelophylax saharicus,"['France', ' Spain']"
Pelophylax plancyi,Pelophylax ridibundus,"["" People's Republic of""]"
Pelophylax ridibundus,Pelophylax ridibundus,"[' Italy', ' Switzerland']"
Pelophylax saharicus,Pelophylax ridibundus,[' Spain']
Pelophylax saharicus,Pelophylax saharicus,[' Spain']
Phyllodytes acuminatus,Phyllodytes luteolus,['Brazil']
Phyllodytes amadoi,Phyllodytes luteolus,['Brazil']
Phyllodytes brevirostris,Phyllodytes luteolus,['Brazil']
Phyllodytes edelmoi,Phyllodytes luteolus,['Brazil']
Phyllodytes gyrinaethes,Phyllodytes luteolus,['Brazil']
Phyllodytes iuna,Phyllodytes luteolus,['Brazil']
Phyllodytes kautskyi,Phyllodytes luteolus,['Brazil']
Phyllodytes luteolus,Phyllodytes luteolus,['Brazil']
Phyllodytes maculosus,Phyllodytes luteolus,['Brazil']
Phyllodytes magnus,Phyllodytes luteolus,['Brazil']
Phyllodytes megatympanum,Phyllodytes luteolus,['Brazil']
Phyllodytes melanomystax,Phyllodytes luteolus,['Brazil']
Phyllodytes praeceptor,Phyllodytes luteolus,['Brazil']
Phyllodytes punctatus,Phyllodytes luteolus,['Brazil']
Phyllodytes tuberculosus,Phyllodytes luteolus,['Brazil']
Phyllodytes wuchereri,Phyllodytes luteolus,['Brazil']
Polypedates iskandari,Polypedates leucomystax,['Indonesia']
Polypedates macrotis,Polypedates leucomystax,[' Philippines']
Polypedates pseudotilophus,Polypedates leucomystax,['Indonesia']
Ranoidea alboguttata,Ranoidea cyclorhynchus,['Australia']
Ranoidea andiirrmalin,Ranoidea cyclorhynchus,['Australia']
Ranoidea aurea,Ranoidea cyclorhynchus,['Australia']
Ranoidea australis,Ranoidea cyclorhynchus,['Australia']
Ranoidea barringtonensis,Ranoidea cyclorhynchus,['Australia']
Ranoidea bella,Ranoidea cyclorhynchus,['Australia']
Ranoidea booroolongensis,Ranoidea cyclorhynchus,['Australia']
Ranoidea brevipes,Ranoidea cyclorhynchus,['Australia']
Ranoidea caerulea,Ranoidea cyclorhynchus,['Australia']
Ranoidea cavernicola,Ranoidea cyclorhynchus,['Australia']
Ranoidea chloris,Ranoidea cyclorhynchus,['Australia']
Ranoidea citropa,Ranoidea cyclorhynchus,['Australia']
Ranoidea cryptotis,Ranoidea cyclorhynchus,['Australia']
Ranoidea cultripes,Ranoidea cyclorhynchus,['Australia']
Ranoidea cyclorhynchus,Ranoidea cyclorhynchus,['Australia']
Ranoidea dahlii,Ranoidea cyclorhynchus,['Australia']
Ranoidea daviesae,Ranoidea cyclorhynchus,['Australia']
Ranoidea dayi,Ranoidea cyclorhynchus,['Australia']
Ranoidea eucnemis,Ranoidea cyclorhynchus,['Australia']
Ranoidea gilleni,Ranoidea cyclorhynchus,['Australia']
Ranoidea gracilenta,Ranoidea cyclorhynchus,['Australia']
Ranoidea jungguy,Ranoidea cyclorhynchus,['Australia']
Ranoidea kroombitensis,Ranoidea cyclorhynchus,['Australia']
Ranoidea lesueuri,Ranoidea cyclorhynchus,['Australia']
Ranoidea longipes,Ranoidea cyclorhynchus,['Australia']
Ranoidea lorica,Ranoidea cyclorhynchus,['Australia']
Ranoidea maculosa,Ranoidea cyclorhynchus,['Australia']
Ranoidea maini,Ranoidea cyclorhynchus,['Australia']
Ranoidea manya,Ranoidea cyclorhynchus,['Australia']
Ranoidea moorei,Ranoidea cyclorhynchus,['Australia']
Ranoidea myola,Ranoidea cyclorhynchus,['Australia']
Ranoidea nannotis,Ranoidea cyclorhynchus,['Australia']
Ranoidea novaehollandiae,Ranoidea cyclorhynchus,['Australia']
Ranoidea nudidigita,Ranoidea cyclorhynchus,['Australia']
Ranoidea nyakalensis,Ranoidea cyclorhynchus,['Australia']
Ranoidea occidentalis,Ranoidea cyclorhynchus,['Australia']
Ranoidea pearsoniana,Ranoidea cyclorhynchus,['Australia']
Ranoidea piperata,Ranoidea cyclorhynchus,['Australia']
Ranoidea platycephala,Ranoidea cyclorhynchus,['Australia']
Ranoidea raniformis,Ranoidea cyclorhynchus,['Australia']
Ranoidea rheocola,Ranoidea cyclorhynchus,['Australia']
Ranoidea serrata,Ranoidea cyclorhynchus,['Australia']
Ranoidea spenceri,Ranoidea cyclorhynchus,['Australia']
Ranoidea splendida,Ranoidea cyclorhynchus,['Australia']
Ranoidea subglandulosa,Ranoidea cyclorhynchus,['Australia']
Ranoidea vagitus,Ranoidea cyclorhynchus,['Australia']
Ranoidea verrucosa,Ranoidea cyclorhynchus,['Australia']
Ranoidea wilcoxii,Ranoidea cyclorhynchus,['Australia']
Ranoidea xanthomera,Ranoidea cyclorhynchus,['Australia']
Rhinella achavali,Rhinella diptycha,['Brazil']
Rhinella acutirostris,Rhinella diptycha,['Brazil']
Rhinella casconi,Rhinella diptycha,['Brazil']
Rhinella castaneotica,Rhinella diptycha,['Brazil']
Rhinella cerradensis,Rhinella diptycha,['Brazil']
Rhinella crucifer,Rhinella diptycha,['Brazil']
Rhinella dapsilis,Rhinella diptycha,['Brazil']
Rhinella granulosa,Rhinella diptycha,['Brazil']
Rhinella henseli,Rhinella diptycha,['Brazil']
Rhinella hoogmoedi,Rhinella diptycha,['Brazil']
Rhinella horribilis,Rhinella marina,[' United States of America']
Rhinella icterica,Rhinella diptycha,['Brazil']
Rhinella inopina,Rhinella diptycha,['Brazil']
Rhinella lescurei,Rhinella diptycha,['Brazil']
Rhinella magnussoni,Rhinella diptycha,['Brazil']
Rhinella margaritifera,Rhinella diptycha,['Brazil']
Rhinella martyi,Rhinella diptycha,['Brazil']
Rhinella merianae,Rhinella diptycha,['Brazil']
Rhinella nattereri,Rhinella diptycha,['Brazil']
Rhinella ocellata,Rhinella diptycha,['Brazil']
Rhinella ornata,Rhinella diptycha,['Brazil']
Rhinella parecis,Rhinella diptycha,['Brazil']
Rhinella proboscidea,Rhinella diptycha,['Brazil']
Rhinella pygmaea,Rhinella diptycha,['Brazil']
Rhinella rubescens,Rhinella diptycha,['Brazil']
Rhinella sebbeni,Rhinella diptycha,['Brazil']
Rhinella veredas,Rhinella diptycha,['Brazil']
Speleomantes strinatii,Speleomantes ambrosii,['France']
Speleomantes strinatii,Speleomantes strinatii,['France']
Telmatobius arequipensis,Telmatobius macrostomus,['Peru']
Telmatobius atahualpai,Telmatobius macrostomus,['Peru']
Telmatobius brachydactylus,Telmatobius macrostomus,['Peru']
Telmatobius brevipes,Telmatobius macrostomus,['Peru']
Telmatobius brevirostris,Telmatobius macrostomus,['Peru']
Telmatobius carrillae,Telmatobius macrostomus,['Peru']
Telmatobius colanensis,Telmatobius macrostomus,['Peru']
Telmatobius degener,Telmatobius macrostomus,['Peru']
Telmatobius hockingi,Telmatobius macrostomus,['Peru']
Telmatobius ignavus,Telmatobius macrostomus,['Peru']
Telmatobius intermedius,Telmatobius macrostomus,['Peru']
Telmatobius jelskii,Telmatobius macrostomus,['Peru']
Telmatobius latirostris,Telmatobius macrostomus,['Peru']
Telmatobius macrostomus,Telmatobius macrostomus,['Peru']
Telmatobius mantaro,Telmatobius macrostomus,['Peru']
Telmatobius mayoloi,Telmatobius macrostomus,['Peru']
Telmatobius mendelsoni,Telmatobius macrostomus,['Peru']
Telmatobius necopinus,Telmatobius macrostomus,['Peru']
Telmatobius punctatus,Telmatobius macrostomus,['Peru']
Telmatobius rimac,Telmatobius macrostomus,['Peru']
Telmatobius thompsoni,Telmatobius macrostomus,['Peru']
Telmatobius truebae,Telmatobius macrostomus,['Peru']
Telmatobius ventriflavum,Telmatobius macrostomus,['Peru']
Triturus carnifex,Triturus carnifex,[' Switzerland']
Triturus cristatus,Triturus carnifex,"[' France', ' Netherlands', ' Switzerland', ' United Kingdom']"
